0.045,0.035,0.046,0.036,0.043,0.033
0.045,0.025,0.051,0.031,0.049,0.029
0.05,0.02,0.054,0.024,0.054,0.024
0.058,0.018,0.057,0.017,0.06,0.02
0.062,0.012,0.061,0.011,0.065,0.015
0.07,0.01,0.067,0.007,0.068,0.008
0.075,0.005,0.076,0.006,0.076,0.006
0.083,0.003,0.084,0.004,0.084,0.004
0.091,0.001,0.092,0.002,0.092,0.002
0.04,0.039,0.04,0.025,0.04,0.042
0.045,0.029,0.045,0.029,0.045,0.032
0.05,0.02,0.05,0.022,0.05,0.026
0.055,0.016,0.055,0.016,0.055,0.018
0.06,0.013,0.06,0.013,0.06,0.015
0.065,0.011,0.065,0.012,0.065,0.012
0.07,0.006,0.07,0.01,0.07,0.01
0.075,0.008,0.075,0.008,0.075,0.008
0.08,0.006,0.08,0.008,0.08,0.007
0.085,0.004,0.085,0.006,0.085,0.006
0.155,0.045,0.163,0.034,0.096,0.02
0.13,0.065,0.097,0.062,0.055,0.037
0.1,0.085,0.094,0.083,0.046,0.059
0.06,0.105,0.083,0.1,0.033,0.081
0.04,0.128,0.066,0.121,0.032,0.097
