,Thickest Spring,,,Medium Spring,,,Thin Spring,,
Trial,3m Time,4m Time,5m Time,3m Time,4m Time,5m Time,3m Time,4m Time,5m Time
1,1.33,1.45,1.64,0.85,1.09,1.26,0.93,1.02,1.13
2,1.36,1.52,1.69,0.93,1.13,1.19,0.95,0.99,1.23
3,1.42,1.5,1.63,0.93,0.92,1.19,0.89,0.99,1.09
4,1.46,1.59,1.6,0.99,0.96,1.23,0.95,0.93,1.25
5,1.42,1.42,1.66,0.86,1.05,1.21,0.86,1.02,1.19
6,1.39,1.46,1.52,0.83,1.16,1.22,0.82,1.1,1.06
7,1.38,1.58,1.59,0.96,1.13,1.22,0.83,0.93,1.22
8,1.34,1.46,1.68,0.79,1.13,1.23,0.86,1.06,1.16
9,1.35,1.52,1.5,0.85,1.13,1.15,0.98,1.03,1.2
10,1.42,1.46,1.46,0.86,1.05,1.29,0.86,1.16,1.12
